Run 1,,Run 2,,Run 3,,Run 4,,Run 5,
Data,Duration,Data,Duration,Data,Duration,Data,Duration,Data,Duration
2020-04-18T22:33:31.9966852Z ##[section]Starting: Release,,2020-04-18T22:36:18.8961096Z ##[section]Starting: Release,,2020-04-18T22:40:01.6594662Z ##[section]Starting: Release,,2020-04-18T22:41:31.3879520Z ##[section]Starting: Release,,2020-04-18T22:43:01.4315813Z ##[section]Starting: Release,
2020-04-18T22:33:33.2439067Z ##[section]Starting: Initialize job,,2020-04-18T22:36:19.9744814Z ##[section]Starting: Initialize job,,2020-04-18T22:40:02.7759034Z ##[section]Starting: Initialize job,,2020-04-18T22:41:32.5231959Z ##[section]Starting: Initialize job,,2020-04-18T22:43:02.4500729Z ##[section]Starting: Initialize job,
2020-04-18T22:33:34.8744543Z ##[section]Finishing: Initialize job,3,2020-04-18T22:36:20.4160088Z ##[section]Finishing: Initialize job,2,2020-04-18T22:40:03.2715902Z ##[section]Finishing: Initialize job,2,2020-04-18T22:41:32.9216762Z ##[section]Finishing: Initialize job,1,2020-04-18T22:43:02.8393917Z ##[section]Finishing: Initialize job,1
2020-04-18T22:33:34.9985047Z ##[section]Starting: Download artifact - _Build - src,,2020-04-18T22:36:20.5417773Z ##[section]Starting: Download artifact - _Build - src,,2020-04-18T22:40:03.4064391Z ##[section]Starting: Download artifact - _Build - src,,2020-04-18T22:41:33.0502635Z ##[section]Starting: Download artifact - _Build - src,,2020-04-18T22:43:02.9571333Z ##[section]Starting: Download artifact - _Build - src,
2020-04-18T22:33:47.1169718Z ##[section]Finishing: Download artifact - _Build - src,13,2020-04-18T22:36:29.1617601Z ##[section]Finishing: Download artifact - _Build - src,9,2020-04-18T22:40:10.7037521Z ##[section]Finishing: Download artifact - _Build - src,7,2020-04-18T22:41:37.4243645Z ##[section]Finishing: Download artifact - _Build - src,4,2020-04-18T22:43:07.4697050Z ##[section]Finishing: Download artifact - _Build - src,5
2020-04-18T22:33:47.1305705Z ##[section]Starting: Stop Services,,2020-04-18T22:36:29.2004628Z ##[section]Starting: Stop Services,,2020-04-18T22:40:10.7231918Z ##[section]Starting: Stop Services,,2020-04-18T22:41:37.4428165Z ##[section]Starting: Stop Services,,2020-04-18T22:43:07.4892080Z ##[section]Starting: Stop Services,
2020-04-18T22:33:50.7014669Z ##[section]Finishing: Stop Services,3,2020-04-18T22:36:33.0979354Z ##[section]Finishing: Stop Services,4,2020-04-18T22:40:14.4328609Z ##[section]Finishing: Stop Services,4,2020-04-18T22:41:40.9615017Z ##[section]Finishing: Stop Services,3,2020-04-18T22:43:11.2718068Z ##[section]Finishing: Stop Services,4
2020-04-18T22:33:50.7258291Z ##[section]Starting: Copy Files to: C:\Src,,2020-04-18T22:36:33.1274289Z ##[section]Starting: Copy Files to: C:\Src,,2020-04-18T22:40:14.4517527Z ##[section]Starting: Copy Files to: C:\Src,,2020-04-18T22:41:40.9800032Z ##[section]Starting: Copy Files to: C:\Src,,2020-04-18T22:43:11.3045228Z ##[section]Starting: Copy Files to: C:\Src,
2020-04-18T22:33:51.7747399Z ##[section]Finishing: Copy Files to: C:\Src,1,2020-04-18T22:36:33.6936524Z ##[section]Finishing: Copy Files to: C:\Src,0,2020-04-18T22:40:15.6200277Z ##[section]Finishing: Copy Files to: C:\Src,1,2020-04-18T22:41:41.5860650Z ##[section]Finishing: Copy Files to: C:\Src,1,2020-04-18T22:43:11.8095597Z ##[section]Finishing: Copy Files to: C:\Src,0
