No. ref,Task,Category,Expected Duration Seconds,Expected Duration,Start,1,Success,Comments,2,Success,Comments,3,Success,Comments,4,Success,Comments,5,Success,Comments,Average
1.01,Communicate Start,Initialise Job,00:05,300,00:00,83,TRUE,,104,TRUE,,38,TRUE,,74,TRUE,,33,TRUE,,66.4
1.02,Copy Files,Copy Files,00:05,300,00:05,249,TRUE,,218,TRUE,,256,FALSE,Folder incorrectly named,192,TRUE,,253,TRUE,,233.6
1.03,Back up Files,Prepare Infrastructure,00:05,300,00:10,177,TRUE,,189,TRUE,,104,TRUE,,177,TRUE,,206,TRUE,,170.6
1.04,Shut Down Services,Prepare Infrastructure,00:10,600,00:15,203,TRUE,,181,TRUE,,79,TRUE,,145,TRUE,,176,TRUE,,156.8
1.05,Backup of Database,Apply Modfications,00:05,300,00:25,59,TRUE,,106,TRUE,,76,TRUE,,90,TRUE,,60,TRUE,,78.2
1.06,Copy Files,Apply Modfications,00:05,300,00:30,293,TRUE,,246,TRUE,,181,TRUE,,323,TRUE,,156,TRUE,,239.8
1.07,Reset Caching Files,Apply Modfications,00:10,600,00:35,130,TRUE,,96,TRUE,,184,TRUE,,125,TRUE,,117,TRUE,,130.4
1.08,Restart Services,Prepare Infrastructure,00:10,600,00:45,411,TRUE,,284,TRUE,,402,TRUE,,381,TRUE,,312,TRUE,,358
1.09,Communicate Progress,Prepare Infrastructure,00:05,300,00:55,68,TRUE,,57,TRUE,,94,TRUE,,31,TRUE,,65,TRUE,,63
1.1,Confirm Progress,Prepare Infrastructure,00:05,300,01:00,311,TRUE,,274,TRUE,,300,TRUE,,281,TRUE,,282,TRUE,,289.6
1.11,Communicate Test Start,Testing,00:05,300,01:05,43,TRUE,,140,TRUE,,64,TRUE,,33,TRUE,,67,TRUE,,69.4
1.12,Production Testing,Testing,00:30,1800,01:10,1501,TRUE,,1211,TRUE,,1273,TRUE,,1440,TRUE,,1147,TRUE,,1314.4
1.13,Communicate Test Results,Testing,00:10,600,01:40,100,TRUE,,196,TRUE,,110,TRUE,,241,TRUE,,130,TRUE,,155.4
1.14,Sign off / completion,,00:05,300,01:50,88,TRUE,,193,TRUE,,109,TRUE,,61,TRUE,,33,TRUE,,96.8
,,,,6900,,3716,,,3495,,,3270,,,3594,,,3037,,,3422.4
,,,,6600,,3628,,,3302,,,3161,,,3533,,,3004,,,3325.6
